group;id;cb;base;delta;mean_point_estimate;mean_std_err;median_point_estimate;median_std_err;std_dev_point_estimate;std_dev_std_err
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=5000;FALSE;5000;100;0.246506395;0.0004567036069783261;0.2452153333333333;0.0003909253835277904;0.0045847364388994375;0.0005743623444149594
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=1000;TRUE;1000;20;19.732724609999998;0.02037584957290176;19.751167;0.026427131326126563;0.20390865163997882;0.012852098388938952
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=1000;TRUE;1000;40;20.34649918;0.018962187763362257;20.3155415;0.02334776817124115;0.19078773531009577;0.015673448613264796
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=1000;TRUE;1000;60;21.10759457;0.037186046584774785;21.040729;0.032941846107291686;0.37440169375386473;0.05042542461763773
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=1000;TRUE;1000;80;21.61175836;0.023594242537592163;21.646146;0.02958628521198963;0.2369392542860867;0.01539961052406983
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=1000;TRUE;1000;100;22.26668085;0.02233033917864559;22.236167;0.03135104144784617;0.22454149631891848;0.014840914097492908
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=2000;TRUE;2000;20;38.408348759999996;0.038805515953204736;38.408;0.05685685000341833;0.3896033121106885;0.021977065337255804
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=2000;TRUE;2000;40;39.31365251;0.04668080152940529;39.3627705;0.042524943579221666;0.4681783610756317;0.038835601456679414
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=2000;TRUE;2000;60;39.83630414;0.044186503623503515;39.8049795;0.08052354845341317;0.4420895462424655;0.027795610371536782
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=2000;TRUE;2000;80;40.55132124;0.04723283798994;40.5159375;0.05930601727524915;0.4747998566628395;0.03370657302041664
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=2000;TRUE;2000;100;41.7300896;0.07940238314104958;41.6854795;0.0736996098901494;0.7976775282023874;0.07262782343916228
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=3000;TRUE;3000;20;57.19716633;0.08285605569159633;57.0989585;0.06527586872620691;0.8315027739380598;0.09227178758883751
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=3000;TRUE;3000;40;57.695936270000004;0.060697784017359396;57.6990005;0.08457314670430739;0.6107046940152496;0.04695728758705908
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=3000;TRUE;3000;60;59.19554878;0.09180025137935456;59.1533125;0.11454121344722608;0.9241827226270871;0.0810238050538413
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=3000;TRUE;3000;80;59.477071630000005;0.06398646096136969;59.4199375;0.08065544820658166;0.6432279248528142;0.047022986102830254
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=3000;TRUE;3000;100;60.00539211;0.08909778747380415;60.0132715;0.13555084874398843;0.898917780771596;0.055002615830998004
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=4000;TRUE;4000;20;76.26090251000001;0.08986409070970779;76.189167;0.09817800730933421;0.8997884410502203;0.07657850497387528
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=4000;TRUE;4000;40;79.06368247;0.22801961349252822;78.638208;0.16500952026914112;2.2892507273285267;0.28593985411469125
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=4000;TRUE;4000;60;80.50424623;0.14636307322613618;80.3178125;0.13455034161473203;1.477016242009517;0.351982570047035
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=4000;TRUE;4000;80;80.48971953;0.13376958841591446;80.259583;0.17279636630624468;1.3493009292226925;0.16755315624665446
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=4000;TRUE;4000;100;83.60576325;0.175193247133679;83.3706455;0.11064901582779188;1.755439109077284;0.35717681829504455
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=5000;TRUE;5000;20;96.74418168999999;0.07815389952472343;96.712208;0.10553613971921283;0.7875701742294793;0.06673317649571894
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=5000;TRUE;5000;40;98.11108045;0.13185542433407169;97.8230415;0.12174436262974432;1.3252334800426862;0.1340775201799381
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=5000;TRUE;5000;60;98.28566751999999;0.1855108599680127;98.017542;0.2027301421641997;1.866777698920938;0.24537049270058026
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=5000;TRUE;5000;80;98.29961123999999;0.1289610477600275;98.0945;0.10469956327617537;1.292130934437343;0.09619983752266086
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=5000;TRUE;5000;100;97.7398375;0.15898536945352454;97.3499375;0.14130887959827343;1.5962451174140302;0.1509175158533647
