group,id,parameter,mean_point_estimate,mean_std_err,median_point_estimate,median_std_err,std_dev_point_estimate,std_dev_std_err
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=4000 delta_diameter=40,40,0.1376197628571429,0.0002668472263275854,0.13703264285714284,0.00018877814471756626,0.0026922021935750855,0.00047831675515325374
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=1000 delta_diameter=40,40,0.13855628875,0.0007018474974274394,0.13721008333333332,0.0003051161793716224,0.007056598140668934,0.002380771382257197
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=5000 delta_diameter=80,80,96.58795537,0.11424368027514324,96.492917,0.10608234196374859,1.1443638424437572,0.10786474640097238
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=2000 delta_diameter=60,60,0.17036016461538467,0.0007114714417056283,0.16909292307692306,0.00034188696535663064,0.007140075137848498,0.0026957090260936803
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=5000 delta_diameter=20,20,93.81214918,0.12497297404298972,93.774062,0.1229129722373924,1.2564480453844769,0.09961037235407268
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=5000 delta_diameter=100,100,97.25479456999999,0.1442538075129807,97.021458,0.17132682020012266,1.4508661689020286,0.12205564881076476
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=2000 delta_diameter=40,40,38.899317939999996,0.04421553780702896,38.8899795,0.047869022641473885,0.443548671077325,0.030445061775102922
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=5000 delta_diameter=100,100,0.2454579166666667,0.0003545644218779212,0.2449966666666667,0.00031089612480744743,0.003563057457083786,0.0005610723847338833
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=1000 delta_diameter=60,60,20.89005331,0.02349709585057328,20.8954995,0.03449877060182359,0.2366099369941117,0.017647745964336947
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=3000 delta_diameter=20,20,0.10055730888888892,0.0004922238779028175,0.09904155555555556,0.00021571440862920964,0.004960225371595486,0.001323167072122884
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=4000 delta_diameter=60,60,77.17281792,0.10262504990869724,77.080417,0.16042333442609386,1.0296901491165533,0.08480217653300691
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=3000 delta_diameter=80,80,0.20803198444444446,0.00026267600689548157,0.20787266666666668,0.00035107613776790496,0.002630936833862329,0.00020006554402278489
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=3000 delta_diameter=60,60,0.17104643666666672,0.0001794183792105334,0.1709561666666667,0.0002738213124767974,0.001807342518171644,0.00016484266381539383
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=4000 delta_diameter=80,80,77.77789990000001,0.13269140286335984,77.50225,0.21788961569421625,1.3357736167057428,0.11587109535986002
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=1000 delta_diameter=20,20,19.54009086,0.02207721391015752,19.5465625,0.03117809895585384,0.2223752538865589,0.018240789561335933
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=1000 delta_diameter=80,80,21.418727899999997,0.02358193036096563,21.378,0.032657157286124346,0.2364669086738944,0.01590267462098491
